,plan_id,plan_label,distr,vote_circ,vote_sqre,total
163,5174092496,27,2,131,116,247
164,5174092496,27,3,127,126,253
165,5174092496,27,4,121,131,252
166,5174092496,27,5,121,123,244
167,5174092496,27,6,136,105,241
168,5174092624,28,1,136,125,261
169,5174092624,28,2,143,106,249
170,5174092624,28,3,123,137,260
171,5174092624,28,4,119,134,253
172,5174092624,28,5,113,126,239
173,5174092624,28,6,124,114,238
174,5174092752,29,1,113,124,237
175,5174092752,29,2,144,113,257
176,5174092752,29,3,130,126,256
177,5174092752,29,4,121,129,250
178,5174092752,29,5,113,126,239
179,5174092752,29,6,137,124,261
180,5174092880,30,1,127,131,258
181,5174092880,30,2,144,110,254
182,5174092880,30,3,125,122,247
183,5174092880,30,4,113,132,245
184,5174092880,30,5,113,126,239
185,5174092880,30,6,136,121,257
186,5174093008,31,1,142,117,259
187,5174093008,31,2,119,132,251
188,5174093008,31,3,130,112,242
189,5174093008,31,4,118,139,257
190,5174093008,31,5,119,126,245
191,5174093008,31,6,130,116,246
192,5174093136,32,1,139,116,255
193,5174093136,32,2,112,127,239
194,5174093136,32,3,137,117,254
195,5174093136,32,4,118,139,257
196,5174093136,32,5,119,126,245
197,5174093136,32,6,133,117,250
198,5174093264,33,1,127,112,239
199,5174093264,33,2,125,130,255
200,5174093264,33,3,139,119,258
201,5174093264,33,4,118,139,257
202,5174093264,33,5,117,127,244
203,5174093264,33,6,132,115,247
204,5174093392,34,1,141,108,249
205,5174093392,34,2,126,132,258
206,5174093392,34,3,108,135,243
207,5174093392,34,4,126,115,241
208,5174093392,34,5,133,128,261
209,5174093392,34,6,124,124,248
210,5174093520,35,1,141,108,249
211,5174093520,35,2,123,123,246
212,5174093520,35,3,111,144,255
213,5174093520,35,4,126,115,241
214,5174093520,35,5,133,128,261
215,5174093520,35,6,124,124,248
216,5174093648,36,1,136,116,252
217,5174093648,36,2,118,133,251
218,5174093648,36,3,117,140,257
219,5174093648,36,4,137,117,254
220,5174093648,36,5,132,117,249
221,5174093648,36,6,118,119,237
222,5174093776,37,1,141,120,261
223,5174093776,37,2,133,114,247
224,5174093776,37,3,106,140,246
225,5174093776,37,4,130,133,263
226,5174093776,37,5,132,108,240
227,5174093776,37,6,116,127,243
228,5174093904,38,1,133,122,255
229,5174093904,38,2,124,125,249
230,5174093904,38,3,110,135,245
231,5174093904,38,4,138,124,262
232,5174093904,38,5,140,110,250
233,5174093904,38,6,113,126,239
234,5174094032,39,1,117,120,237
235,5174094032,39,2,140,118,258
236,5174094032,39,3,122,139,261
237,5174094032,39,4,110,127,237
238,5174094032,39,5,141,110,251
239,5174094032,39,6,128,128,256
240,5174094160,40,1,131,112,243
241,5174094160,40,2,125,133,258
242,5174094160,40,3,115,128,243
243,5174094160,40,4,140,121,261
244,5174094160,40,5,121,120,241
245,5174094160,40,6,126,128,254
246,5174094288,41,1,122,126,248
247,5174094288,41,2,151,112,263
248,5174094288,41,3,110,132,242
249,5174094288,41,4,128,129,257
250,5174094288,41,5,124,125,249
251,5174094288,41,6,123,118,241
252,5174094416,42,1,119,119,238
253,5174094416,42,2,141,117,258
254,5174094416,42,3,110,132,242
255,5174094416,42,4,127,126,253
256,5174094416,42,5,131,125,256
257,5174094416,42,6,130,123,253
258,5174094544,43,1,119,119,238
259,5174094544,43,2,141,117,258
260,5174094544,43,3,110,132,242
261,5174094544,43,4,124,125,249
262,5174094544,43,5,134,126,260
263,5174094544,43,6,130,123,253
264,5174094672,44,1,133,108,241
265,5174094672,44,2,126,129,255
266,5174094672,44,3,119,127,246
267,5174094672,44,4,130,128,258
268,5174094672,44,5,137,124,261
269,5174094672,44,6,113,126,239
270,5174094800,45,1,139,121,260
271,5174094800,45,2,122,132,254
272,5174094800,45,3,134,116,250
273,5174094800,45,4,122,127,249
274,5174094800,45,5,128,120,248
275,5174094800,45,6,113,126,239
276,5174094928,46,1,128,135,263
277,5174094928,46,2,143,104,247
278,5174094928,46,3,113,137,250
279,5174094928,46,4,125,131,256
280,5174094928,46,5,124,119,243
281,5174094928,46,6,125,116,241
282,5174095056,47,1,143,112,255
283,5174095056,47,2,124,128,252
284,5174095056,47,3,125,119,244
285,5174095056,47,4,113,148,261
286,5174095056,47,5,133,106,239
287,5174095056,47,6,120,129,249
288,5174095184,48,1,118,122,240
289,5174095184,48,2,128,123,251
290,5174095184,48,3,136,113,249
291,5174095184,48,4,114,143,257
292,5174095184,48,5,122,128,250
293,5174095184,48,6,140,113,253
294,5174095312,49,1,119,125,244
295,5174095312,49,2,131,129,260
296,5174095312,49,3,146,113,259
297,5174095312,49,4,112,142,254
298,5174095312,49,5,121,117,238
299,5174095312,49,6,129,116,245
300,5174095440,50,1,121,135,256
301,5174095440,50,2,129,120,249
302,5174095440,50,3,131,120,251
303,5174095440,50,4,124,129,253
304,5174095440,50,5,135,114,249
305,5174095440,50,6,118,124,242
306,5174095568,51,1,121,135,256
307,5174095568,51,2,123,114,237
308,5174095568,51,3,137,126,263
309,5174095568,51,4,124,129,253
310,5174095568,51,5,135,114,249
311,5174095568,51,6,118,124,242
312,5176307856,52,1,126,136,262
313,5176307856,52,2,129,120,249
314,5176307856,52,3,131,120,251
315,5176307856,52,4,119,128,247
316,5176307856,52,5,135,114,249
317,5176307856,52,6,118,124,242
318,5176307984,53,1,123,127,250
319,5176307984,53,2,129,120,249
320,5176307984,53,3,131,120,251
321,5176307984,53,4,122,137,259
322,5176307984,53,5,135,114,249
323,5176307984,53,6,118,124,242
324,5176308240,54,1,124,134,258
325,5176308240,54,2,136,107,243
326,5176308240,54,3,111,130,241
327,5176308240,54,4,136,126,262
328,5176308240,54,5,118,128,246
329,5176308240,54,6,133,117,250
330,5176308368,55,1,121,125,246
331,5176308368,55,2,136,107,243
332,5176308368,55,3,111,130,241
333,5176308368,55,4,136,126,262
334,5176308368,55,5,121,137,258
335,5176308368,55,6,133,117,250
336,5176308624,56,1,136,113,249
337,5176308624,56,2,124,115,239
338,5176308624,56,3,130,132,262
339,5176308624,56,4,122,141,263
340,5176308624,56,5,112,130,242
341,5176308624,56,6,134,111,245
342,5176308752,57,1,135,127,262
343,5176308752,57,2,140,103,243
344,5176308752,57,3,116,141,257
345,5176308752,57,4,113,126,239
346,5176308752,57,5,118,130,248
347,5176308752,57,6,136,115,251
348,5176308880,58,1,127,110,237
349,5176308880,58,2,135,104,239
350,5176308880,58,3,119,141,260
351,5176308880,58,4,126,128,254
352,5176308880,58,5,121,131,252
353,5176308880,58,6,130,128,258
354,5176309008,59,1,134,119,253
355,5176309008,59,2,132,106,238
356,5176309008,59,3,112,132,244
357,5176309008,59,4,129,128,257
358,5176309008,59,5,121,131,252
359,5176309008,59,6,130,126,256
360,5176309136,60,1,121,118,239
361,5176309136,60,2,126,113,239
362,5176309136,60,3,133,114,247
363,5176309136,60,4,129,128,257
364,5176309136,60,5,123,135,258
365,5176309136,60,6,126,134,260
366,5176309264,61,1,113,126,239
367,5176309264,61,2,142,114,256
368,5176309264,61,3,136,124,260
369,5176309264,61,4,119,137,256
370,5176309264,61,5,118,126,244
371,5176309264,61,6,130,115,245
372,5176309392,62,1,117,127,244
373,5176309392,62,2,141,107,248
374,5176309392,62,3,133,119,252
375,5176309392,62,4,114,134,248
376,5176309392,62,5,121,135,256
377,5176309392,62,6,132,120,252
378,5176309520,63,1,129,129,258
379,5176309520,63,2,138,122,260
380,5176309520,63,3,137,104,241
381,5176309520,63,4,126,124,250
382,5176309520,63,5,109,138,247
383,5176309520,63,6,119,125,244
384,5176309648,64,1,129,129,258
385,5176309648,64,2,141,122,263
386,5176309648,64,3,134,104,238
387,5176309648,64,4,126,124,250
388,5176309648,64,5,109,138,247
389,5176309648,64,6,119,125,244
390,5176309776,65,1,130,112,242
391,5176309776,65,2,121,125,246
392,5176309776,65,3,111,144,255
393,5176309776,65,4,148,110,258
394,5176309776,65,5,123,125,248
395,5176309776,65,6,125,126,251
396,5176309904,66,1,130,112,242
397,5176309904,66,2,121,125,246
398,5176309904,66,3,108,135,243
399,5176309904,66,4,148,110,258
400,5176309904,66,5,126,134,260
401,5176309904,66,6,125,126,251
402,5176310032,67,1,138,122,260
403,5176310032,67,2,120,130,250
404,5176310032,67,3,117,126,243
405,5176310032,67,4,146,104,250
406,5176310032,67,5,120,133,253
407,5176310032,67,6,117,127,244
408,5176310160,68,1,131,113,244
409,5176310160,68,2,116,121,237
410,5176310160,68,3,132,122,254
411,5176310160,68,4,126,122,248
412,5176310160,68,5,125,136,261
413,5176310160,68,6,128,128,256
414,5176310288,69,1,115,123,238
415,5176310288,69,2,120,134,254
416,5176310288,69,3,134,113,247
417,5176310288,69,4,134,124,258
418,5176310288,69,5,112,130,242
419,5176310288,69,6,143,118,261
420,5176310416,70,1,115,123,238
421,5176310416,70,2,113,126,239
422,5176310416,70,3,141,121,262
423,5176310416,70,4,134,124,258
424,5176310416,70,5,112,130,242
425,5176310416,70,6,143,118,261
426,5176310672,71,1,128,128,256
427,5176310672,71,2,116,137,253
428,5176310672,71,3,137,122,259
429,5176310672,71,4,120,119,239
430,5176310672,71,5,116,130,246
431,5176310672,71,6,141,106,247
432,5176310800,72,1,117,127,244
433,5176310800,72,2,112,127,239
434,5176310800,72,3,142,119,261
435,5176310800,72,4,121,118,239
436,5176310800,72,5,114,140,254
437,5176310800,72,6,152,111,263
438,5176310928,73,1,119,126,245
439,5176310928,73,2,112,127,239
440,5176310928,73,3,130,108,238
441,5176310928,73,4,132,131,263
442,5176310928,73,5,114,140,254
443,5176310928,73,6,151,110,261
444,5176311056,74,1,122,125,247
445,5176311056,74,2,119,132,251
446,5176311056,74,3,126,122,248
447,5176311056,74,4,129,131,260
448,5176311056,74,5,121,123,244
449,5176311056,74,6,141,109,250
450,5176311184,75,1,131,126,257
451,5176311184,75,2,121,135,256
452,5176311184,75,3,119,120,239
453,5176311184,75,4,128,132,260
454,5176311184,75,5,119,119,238
455,5176311184,75,6,140,110,250
456,5176311312,76,1,125,118,243
457,5176311312,76,2,115,128,243
458,5176311312,76,3,134,128,262
459,5176311312,76,4,124,129,253
460,5176311312,76,5,123,127,250
461,5176311312,76,6,137,112,249
462,5176311440,77,1,124,120,244
463,5176311440,77,2,117,140,257
464,5176311440,77,3,128,130,258
465,5176311440,77,4,124,124,248
466,5176311440,77,5,118,122,240
467,5176311440,77,6,147,106,253
468,5176311568,78,1,124,132,256
469,5176311568,78,2,134,110,244
470,5176311568,78,3,127,120,247
471,5176311568,78,4,120,136,256
472,5176311568,78,5,139,104,243
473,5176311568,78,6,114,140,254
474,5176311696,79,1,122,128,250
475,5176311696,79,2,120,119,239
476,5176311696,79,3,125,116,241
477,5176311696,79,4,128,134,262
478,5176311696,79,5,145,105,250
479,5176311696,79,6,118,140,258
480,5178544208,80,1,112,132,244
481,5178544208,80,2,110,136,246
482,5178544208,80,3,125,125,250
483,5178544208,80,4,127,126,253
484,5178544208,80,5,142,111,253
485,5178544208,80,6,142,112,254
486,5178544336,81,1,113,126,239
487,5178544336,81,2,122,141,263
488,5178544336,81,3,131,121,252
489,5178544336,81,4,136,117,253
490,5178544336,81,5,114,132,246
491,5178544336,81,6,142,105,247
492,5178544464,82,1,113,126,239
493,5178544464,82,2,122,141,263
494,5178544464,82,3,123,114,237
495,5178544464,82,4,136,117,253
496,5178544464,82,5,122,139,261
497,5178544464,82,6,142,105,247
498,5178544592,83,1,126,133,259
499,5178544592,83,2,109,130,239
500,5178544592,83,3,133,129,262
501,5178544592,83,4,138,109,247
502,5178544592,83,5,117,120,237
503,5178544592,83,6,135,121,256
504,5178544720,84,1,121,118,239
505,5178544720,84,2,116,142,258
506,5178544720,84,3,128,132,260
507,5178544720,84,4,137,108,245
508,5178544720,84,5,118,126,244
509,5178544720,84,6,138,116,254
510,5178544848,85,1,134,121,255
511,5178544848,85,2,118,120,238
512,5178544848,85,3,134,129,263
513,5178544848,85,4,132,119,251
514,5178544848,85,5,119,133,252
515,5178544848,85,6,121,120,241
516,5178544976,86,1,127,120,247
517,5178544976,86,2,131,120,251
518,5178544976,86,3,122,128,250
519,5178544976,86,4,137,102,239
520,5178544976,86,5,128,123,251
521,5178544976,86,6,113,149,262
522,5178545104,87,1,136,114,250
523,5178545104,87,2,128,132,260
524,5178545104,87,3,123,117,240
525,5178545104,87,4,129,117,246
526,5178545104,87,5,122,128,250
527,5178545104,87,6,120,134,254
528,5178545232,88,1,133,118,251
529,5178545232,88,2,109,130,239
530,5178545232,88,3,129,128,257
531,5178545232,88,4,119,124,243
532,5178545232,88,5,135,114,249
533,5178545232,88,6,133,128,261
534,5178545360,89,1,125,128,253
535,5178545360,89,2,109,130,239
536,5178545360,89,3,136,115,251
537,5178545360,89,4,113,136,249
538,5178545360,89,5,137,110,247
539,5178545360,89,6,138,123,261
540,5178545488,90,1,129,128,257
541,5178545488,90,2,137,124,261
542,5178545488,90,3,124,126,250
543,5178545488,90,4,111,129,240
544,5178545488,90,5,134,103,237
545,5178545488,90,6,123,132,255
546,5178545616,91,1,116,127,243
547,5178545616,91,2,140,115,255
548,5178545616,91,3,143,106,249
549,5178545616,91,4,118,142,260
550,5178545616,91,5,124,119,243
551,5178545616,91,6,117,133,250
552,5178545744,92,1,116,127,243
553,5178545744,92,2,140,115,255
554,5178545744,92,3,143,106,249
555,5178545744,92,4,110,135,245
556,5178545744,92,5,132,126,258
557,5178545744,92,6,117,133,250
558,5178545872,93,1,113,126,239
559,5178545872,93,2,128,113,241
560,5178545872,93,3,145,110,255
561,5178545872,93,4,116,136,252
562,5178545872,93,5,139,124,263
563,5178545872,93,6,117,133,250
564,5178546000,94,1,119,126,245
565,5178546000,94,2,132,122,254
566,5178546000,94,3,143,109,252
567,5178546000,94,4,115,129,244
568,5178546000,94,5,125,122,247
569,5178546000,94,6,124,134,258
570,5178546128,95,1,119,126,245
571,5178546128,95,2,112,131,243
572,5178546128,95,3,143,106,249
573,5178546128,95,4,133,126,259
574,5178546128,95,5,123,130,253
575,5178546128,95,6,128,123,251
576,5178546256,96,1,113,126,239
577,5178546256,96,2,123,136,259
578,5178546256,96,3,143,102,245
579,5178546256,96,4,124,127,251
580,5178546256,96,5,122,128,250
581,5178546256,96,6,133,123,256
582,5178546384,97,1,113,126,239
583,5178546384,97,2,124,137,261
584,5178546384,97,3,141,103,244
585,5178546384,97,4,126,129,255
586,5178546384,97,5,121,124,245
587,5178546384,97,6,133,123,256
588,5178546512,98,1,113,126,239
589,5178546512,98,2,124,137,261
590,5178546512,98,3,139,98,237
591,5178546512,98,4,126,129,255
592,5178546512,98,5,121,124,245
593,5178546512,98,6,135,128,263
594,5178546640,99,1,113,126,239
595,5178546640,99,2,121,133,254
596,5178546640,99,3,148,112,260
